array_size=1048576 	STRIDE=1 	avgMISSES=0.015551 	avgTIME=0.000761
array_size=1048576 	STRIDE=2 	avgMISSES=0.031255 	avgTIME=0.000727
array_size=1048576 	STRIDE=4 	avgMISSES=0.062508 	avgTIME=0.000728
array_size=1048576 	STRIDE=8 	avgMISSES=0.125016 	avgTIME=0.000733
array_size=1048576 	STRIDE=16 	avgMISSES=0.250026 	avgTIME=0.000825
array_size=1048576 	STRIDE=32 	avgMISSES=0.500017 	avgTIME=0.001223
array_size=1048576 	STRIDE=64 	avgMISSES=1.000005 	avgTIME=0.002428
array_size=1048576 	STRIDE=128 	avgMISSES=1.000007 	avgTIME=0.002607
array_size=1048576 	STRIDE=256 	avgMISSES=1.001292 	avgTIME=0.002727
array_size=1048576 	STRIDE=512 	avgMISSES=1.009429 	avgTIME=0.002346
array_size=1048576 	STRIDE=1024 	avgMISSES=2.008898 	avgTIME=0.003672
array_size=1048576 	STRIDE=2048 	avgMISSES=2.006664 	avgTIME=0.005084
array_size=1048576 	STRIDE=4096 	avgMISSES=1.982974 	avgTIME=0.008096
array_size=1048576 	STRIDE=8192 	avgMISSES=1.990945 	avgTIME=0.008008
array_size=1048576 	STRIDE=16384 	avgMISSES=2.324445 	avgTIME=0.007698
array_size=1048576 	STRIDE=32768 	avgMISSES=2.031006 	avgTIME=0.006475
array_size=1048576 	STRIDE=65536 	avgMISSES=1.111765 	avgTIME=0.004796
array_size=1048576 	STRIDE=131072 	avgMISSES=0.000004 	avgTIME=0.001781
array_size=1048576 	STRIDE=262144 	avgMISSES=0.000000 	avgTIME=0.000910
array_size=1048576 	STRIDE=524288 	avgMISSES=0.000000 	avgTIME=0.000936
array_size=2097152 	STRIDE=1 	avgMISSES=0.015588 	avgTIME=0.000727
array_size=2097152 	STRIDE=2 	avgMISSES=0.031253 	avgTIME=0.000727
array_size=2097152 	STRIDE=4 	avgMISSES=0.062504 	avgTIME=0.000728
array_size=2097152 	STRIDE=8 	avgMISSES=0.125008 	avgTIME=0.000733
array_size=2097152 	STRIDE=16 	avgMISSES=0.250013 	avgTIME=0.000829
array_size=2097152 	STRIDE=32 	avgMISSES=0.500009 	avgTIME=0.001218
array_size=2097152 	STRIDE=64 	avgMISSES=1.000003 	avgTIME=0.002428
array_size=2097152 	STRIDE=128 	avgMISSES=1.000004 	avgTIME=0.002618
array_size=2097152 	STRIDE=256 	avgMISSES=1.001292 	avgTIME=0.002759
array_size=2097152 	STRIDE=512 	avgMISSES=1.009402 	avgTIME=0.002347
array_size=2097152 	STRIDE=1024 	avgMISSES=2.003213 	avgTIME=0.003661
array_size=2097152 	STRIDE=2048 	avgMISSES=2.001241 	avgTIME=0.005082
array_size=2097152 	STRIDE=4096 	avgMISSES=1.971720 	avgTIME=0.008082
array_size=2097152 	STRIDE=8192 	avgMISSES=1.977687 	avgTIME=0.008076
array_size=2097152 	STRIDE=16384 	avgMISSES=1.961898 	avgTIME=0.008054
array_size=2097152 	STRIDE=32768 	avgMISSES=2.410271 	avgTIME=0.008050
array_size=2097152 	STRIDE=65536 	avgMISSES=2.024140 	avgTIME=0.006623
array_size=2097152 	STRIDE=131072 	avgMISSES=1.113545 	avgTIME=0.005023
array_size=2097152 	STRIDE=262144 	avgMISSES=0.000023 	avgTIME=0.001916
array_size=2097152 	STRIDE=524288 	avgMISSES=0.000006 	avgTIME=0.000972
array_size=2097152 	STRIDE=1048576 	avgMISSES=0.000000 	avgTIME=0.000943
array_size=4194304 	STRIDE=1 	avgMISSES=0.015611 	avgTIME=0.000733
array_size=4194304 	STRIDE=2 	avgMISSES=0.031277 	avgTIME=0.000737
array_size=4194304 	STRIDE=4 	avgMISSES=0.062532 	avgTIME=0.000739
array_size=4194304 	STRIDE=8 	avgMISSES=0.125043 	avgTIME=0.000753
array_size=4194304 	STRIDE=16 	avgMISSES=0.250068 	avgTIME=0.000943
array_size=4194304 	STRIDE=32 	avgMISSES=0.500115 	avgTIME=0.001382
array_size=4194304 	STRIDE=64 	avgMISSES=1.000230 	avgTIME=0.002803
array_size=4194304 	STRIDE=128 	avgMISSES=1.000323 	avgTIME=0.002902
array_size=4194304 	STRIDE=256 	avgMISSES=1.001660 	avgTIME=0.003152
array_size=4194304 	STRIDE=512 	avgMISSES=1.008893 	avgTIME=0.002651
array_size=4194304 	STRIDE=1024 	avgMISSES=1.995274 	avgTIME=0.003828
array_size=4194304 	STRIDE=2048 	avgMISSES=2.012661 	avgTIME=0.005357
array_size=4194304 	STRIDE=4096 	avgMISSES=2.046147 	avgTIME=0.008727
array_size=4194304 	STRIDE=8192 	avgMISSES=2.011158 	avgTIME=0.008603
array_size=4194304 	STRIDE=16384 	avgMISSES=1.999627 	avgTIME=0.008671
array_size=4194304 	STRIDE=32768 	avgMISSES=2.149271 	avgTIME=0.008627
array_size=4194304 	STRIDE=65536 	avgMISSES=1.986444 	avgTIME=0.007938
array_size=4194304 	STRIDE=131072 	avgMISSES=2.327469 	avgTIME=0.008635
array_size=4194304 	STRIDE=262144 	avgMISSES=1.321708 	avgTIME=0.005731
array_size=4194304 	STRIDE=524288 	avgMISSES=0.000004 	avgTIME=0.001778
array_size=4194304 	STRIDE=1048576 	avgMISSES=0.000000 	avgTIME=0.000907
array_size=4194304 	STRIDE=2097152 	avgMISSES=0.000000 	avgTIME=0.000956
