array_size=8192 	STRIDE=1 	avgMISSES=0.000097 	avgTIME=0.000928
array_size=8192 	STRIDE=2 	avgMISSES=0.000080 	avgTIME=0.000916
array_size=8192 	STRIDE=4 	avgMISSES=0.000049 	avgTIME=0.000876
array_size=8192 	STRIDE=8 	avgMISSES=0.000040 	avgTIME=0.000734
array_size=8192 	STRIDE=16 	avgMISSES=0.000031 	avgTIME=0.000796
array_size=8192 	STRIDE=32 	avgMISSES=0.000041 	avgTIME=0.000754
array_size=8192 	STRIDE=64 	avgMISSES=0.000027 	avgTIME=0.000770
array_size=8192 	STRIDE=128 	avgMISSES=0.000014 	avgTIME=0.000829
array_size=8192 	STRIDE=256 	avgMISSES=0.000007 	avgTIME=0.000629
array_size=8192 	STRIDE=512 	avgMISSES=0.000004 	avgTIME=0.000686
array_size=8192 	STRIDE=1024 	avgMISSES=0.000003 	avgTIME=0.000701
array_size=8192 	STRIDE=2048 	avgMISSES=0.000002 	avgTIME=0.000770
array_size=8192 	STRIDE=4096 	avgMISSES=0.000001 	avgTIME=0.000938
array_size=16384 	STRIDE=1 	avgMISSES=0.000062 	avgTIME=0.000727
array_size=16384 	STRIDE=2 	avgMISSES=0.000049 	avgTIME=0.000726
array_size=16384 	STRIDE=4 	avgMISSES=0.000059 	avgTIME=0.000724
array_size=16384 	STRIDE=8 	avgMISSES=0.000057 	avgTIME=0.000787
array_size=16384 	STRIDE=16 	avgMISSES=0.000058 	avgTIME=0.000753
array_size=16384 	STRIDE=32 	avgMISSES=0.000044 	avgTIME=0.000738
array_size=16384 	STRIDE=64 	avgMISSES=0.000054 	avgTIME=0.000747
array_size=16384 	STRIDE=128 	avgMISSES=0.000029 	avgTIME=0.000778
array_size=16384 	STRIDE=256 	avgMISSES=0.000013 	avgTIME=0.000847
array_size=16384 	STRIDE=512 	avgMISSES=0.000005 	avgTIME=0.000681
array_size=16384 	STRIDE=1024 	avgMISSES=0.000004 	avgTIME=0.000745
array_size=16384 	STRIDE=2048 	avgMISSES=0.000002 	avgTIME=0.000858
array_size=16384 	STRIDE=4096 	avgMISSES=0.000002 	avgTIME=0.000911
array_size=16384 	STRIDE=8192 	avgMISSES=0.000001 	avgTIME=0.000936
array_size=32768 	STRIDE=1 	avgMISSES=0.000180 	avgTIME=0.000725
array_size=32768 	STRIDE=2 	avgMISSES=0.000184 	avgTIME=0.000725
